state_name_crime,district_name,total_crimes,Ranking,state_name_pop,Population,Growth,Sex-Ratio,Literacy,crime_rate_per_capita,safety_score
Jharkhand,Bokaro,2922.0,222.0,Jharkhand,2062330.0,16.01 %,922.0,72.01,141.68440550251415,98.64046541529974
Jharkhand,Chatra,1481.0,433.0,Jharkhand,1042886.0,31.77 %,953.0,60.18,142.00976904474697,98.63734338513208
Jharkhand,Deoghar,2891.0,337.0,Jharkhand,1492073.0,28.03 %,925.0,64.85,193.75727595097558,98.14079949901058
Jharkhand,Dumka,1054.0,371.0,Jharkhand,1321442.0,19.42 %,977.0,61.02,79.76135161437278,99.23464889690875
Jharkhand,Garhwa,1937.0,369.0,Jharkhand,1322784.0,27.75 %,935.0,60.33,146.4335825047778,98.59489462463623
Jharkhand,Giridih,3258.0,182.0,Jharkhand,2445474.0,28.41 %,944.0,63.14,133.22570593676318,98.72163097872532
Jharkhand,Godda,1755.0,372.0,Jharkhand,1313551.0,25.35 %,938.0,56.4,133.60729807978524,98.71796940627598
Jharkhand,Gumla,1010.0,439.0,Jharkhand,1025213.0,23.16 %,993.0,65.73,98.51611323695661,99.05468733400224
Jharkhand,Hazaribagh,2940.0,279.0,Jharkhand,1734495.0,20.65 %,947.0,69.75,169.50178582238632,98.37354337496303
Jharkhand,Jamtara,1016.0,486.0,Jharkhand,791042.0,21.12 %,954.0,64.59,128.4381865943907,98.76756968381986
Jharkhand,Khunti,394.0,541.0,Jharkhand,531885.0,22.32 %,997.0,63.86,74.0761630803651,99.28920119859016
